(Hectares),,,,,
FRUIT,2017-18,2018-19,2019-20,2020-21,2021-22
Citrus,183849,181650,156321,152371,152716
Mango,167899,158659,158512,159240,159247
Banana,30031,29730,32847,32918,33197
Apple,88589,82041,75772,77429,72894
Grapes,15724,15675,15603,15171,16029
Pomegranate,7270,7330,7005,6611,6518
Guava,64938,56141,55863,54273,54391
Dates,98415,99032,99404,95619,96514
Apricot,22715,18629,15508,15934,14515
Peach,14350,15032,14308,15295,15424
Pear,1736,1697,1489,1580,1321
Plum,6127,6074,5525,5863,5902
Almond,9888,9602,8882,8556,8358
Fig,77,67,68,103,137
Jaman,914,870,759,762,757
Litchy,332,355,356,308,308
Phalsa,1186,1241,1338,1467,1469
Walnut,1705,1739,1371,1773,1843
Ber,4369,6528,4657,4686,4671
Loquat,1083,1501,1515,1503,1506
Mulberry,827,493,307,276,269
Strawbery,285,387,404,419,432
Chikoo,1760,1755,1755,1802,1837
Coconut,1445,1443,1441,1443,1448
Cherry,995,992,933,918,935
Pistachio,,171,169,176,183
Papaya,1555,1663,1638,1678,1677
Percimen,3060,3103,2895,2994,2919
Melons,37776,35358,38120,64949,49967
Others(K+R),10872,7670,6509,4668,7318
Total,779772,746628,711274,730785,714702
